FID,Name,Cnt_NOME_TI23,Ave_OBJECTID,Sum_Area_km
-1,Lago do Correio,1,777,135.427223
-1,Lago do Limao,1,667,104.7388685
-1,Lago do Marinheiro,1,764,36.37460834
-1,Lago Grande,1,756,97.75846956
-1,Lago Jauari,1,443,118.7436113
-1,Lagoa Comprida,1,382,131.9897248
-1,Lagoa dos Brincos,1,495,16.56338612
-1,Lameirao,1,704,104.551602
-1,Las Casas,1,766,207.3445873
-1,Lauro Sodr,1,553,95.37758432
-1,M8dio Rio Negro I,1,556,18735.75178
-1,M8dio Rio Negro II,1,408,3353.242544
-1,Macarrao,1,528,445.3072537
-1,Mae Maria,1,496,628.065528
-1,Malacacheta,1,565,316.0505855
-1,Mamoadate,1,609,2963.421958
-1,Mamorip,1,710,100.8440411
-1,Manchineri do Seringal Guanabara,1,721,97.36008879
-1,Mangueira,1,383,51.84598058
-1,Manoa/Pium,1,384,501.6072035
-1,Mapari,1,593,1628.68433
-1,Maraa Urubaxi,1,413,982.306466
-1,Maracaxi,1,643,107.3815704
-1,MaraitU,1,633,541.9205827
-1,Maraiwatsede,1,452,1554.561639
-1,Marajai,1,426,10.00912076
-1,Maranduba,1,638,3.610020162
-1,Marechal Rondon,1,469,927.7253632
-1,Massaco,1,470,3927.253462
-1,Matintin,1,779,223.2406926
-1,Mawetek,1,439,1135.41204
-1,Menk0,2,625.5,517.2902972
-1,Menkragnoti,1,608,47550.24041
-1,Meria,1,427,5.946952207
-1,Merure,1,619,760.5795967
-1,Miguel/Josefa,1,432,16.50336243
-1,Miratu,1,535,142.4377378
-1,Mirixipi,1,649,107.2573208
-1,Monte/Primavera/Goiaba,1,714,99.1370986
-1,Morro Branco,1,488,0.486584007
-1,Moskow,1,482,157.4608145
-1,Munduruku,1,597,23262.78521
-1,Munduruku-Taquara,1,789,258.3257623
-1,Muratuba,1,666,105.2730838
-1,Muratuba do Par,1,743,106.719485
-1,Muriru,1,483,61.36833617
-1,Murutinga,1,661,105.9161622
-1,Nambikwara,1,455,9420.066603
-1,Natal/Felicidade,1,430,3.400276762
-1,Nau0,1,723,100.5280463
-1,Nhamund,1,425,11046.03605
-1,Norotsura,1,688,93.38835416
-1,Nova Esperan,1,444,202.3693373
-1,Nova Jacund,1,357,4.017752861
-1,Nova Vista,1,653,107.0431107
-1,Nove de Janeiro,1,536,2236.972534
-1,Nukini,2,563,412.8589076
-1,Ouro,1,497,154.9658656
-1,Pacaas Novas,1,630,2652.137386
-1,Pacaj,1,645,106.2992406
-1,Padre,1,543,8.086276471
-1,Panar,1,605,4780.045803
-1,Pantaleao,1,662,105.614564
