,Name,OBJECTID,ID_UC,Reserve.Type,Class,gov_level,year_created,Polygon_quality,Organization_group_name,ID_TI,ADR6,Population,State,Municipality,OpDam_ID,NEAR_DIST_OpDam_m,Dam_ID,NEAR_DIST_alldams,Sum_Area_km2,Never_forested_km2,Area_deforested_km2
556,RESERVA BIOLiGICA DO RIO TROMBETAS,11,210,Biological Reserve,Protection Integral,Federal,1979,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,3,266828.768,11,125042.9267,4275.105995,,21.7355723
500,PARQUE NACIONAL VIRUe,12,179,Park,Protection Integral,Federal,1998,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,0,366810.7536,59,263595.1472,2332.347896,1174.040608,11.03477167
182,Estacio ecologico DE CUNI,13,53,Ecological Station,Protection Integral,Federal,2001,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,41,21420.62795,66,21429.71953,1794.642068,187.455852,14.31628146
490,PARQUE NACIONAL DO JURUENA,14,281,Park,Protection Integral,Federal,2006,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,4,143425.4602,32,69957.07155,18981.0258,969.0444042,123.9119711
493,PARQUE NACIONAL DO PICO DA NEBLINA,15,177,Park,Protection Integral,Federal,1979,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,0,650381.0241,59,613630.2989,24089.43313,32.36381042,117.8380527
496,PARQUE NACIONAL MAPINGUARI,16,1633,Park,Protection Integral,Federal,2008,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,23,568.2139539,39,576.6071285,17155.268,1593.078704,134.2690982
552,RESERVA BIOLiGICA DO GURUPI,17,207,Biological Reserve,Protection Integral,Federal,1988,Approximate,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,5,283531.4203,73,187597.6203,2751.985516,,804.40098
489,PARQUE NACIONAL DO JAs,18,173,Park,Protection Integral,Federal,1980,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,0,209119.7751,6,209127.0691,24461.88512,189.1276821,58.02020478
189,Estacio ecologico DE TAIAMC,19,62,Esta,Protection Integral,Federal,1981,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,20,210358.6741,38,210347.8398,105.5262478,95.52476511,
498,PARQUE NACIONAL NASCENTES DO LAGO JARI,20,1626,Park,Protection Integral,Federal,2008,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,41,266595.3552,66,266600.3025,8062.283864,118.0996827,35.3146177
187,Estacio ecologico DE MARACC JIPIOCA,21,58,Esta,Protection Integral,Federal,1981,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,2,140643.216,13,86994.86601,655.1973416,431.9078536,10.02851531
495,PARQUE NACIONAL DOS CAMPOS AMAZrNICOS,22,284,Park,Protection Integral,Federal,2006,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,41,149177.4192,75,10366.89243,9289.360749,1903.867622,66.4161579
186,Estacio ecologico DE MARACC,23,57,Esta,Protection Integral,Federal,1981,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,0,620688.3066,59,507460.9146,1160.544585,4.520462725,30.77628428
180,Estacio ecologico DA TERRA DO MEIO,24,47,Ecological Station,Protection Integral,Federal,2005,Correct,Instituto Chico Mendes de Conserva5,,,,,,3,178352.9247,10,171105.6538,33486.16345,210.5030619,498.9104414
554,RESERVA BIOLiGICA DO LAGO PIRATUBA,25,209,Biological Reserve,Protection Integral,Federal,1980,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,16,89495.13393,13,87564.27176,4251.288898,3048.782775,15.05012533
181,Estacio ecologico DE CARACARAs,26,51,Esta,Protection Integral,Federal,1982,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,0,431017.9907,59,323717.8427,948.6624111,112.8910699,65.05874172
481,PARQUE NACIONAL DA SERRA DO PARDO,27,151,Park,Protection Integral,Federal,2005,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,3,317524.236,10,293193.6684,4414.836512,465.2854906,267.1836999
176,ESTACAO ECOLOGICA SERRA GERAL DO TOCANTINS,28,76,Ecological Station,Protection Integral,Federal,2001,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,28,154046.5361,21,20991.87119,5957.041286,5955.216489,
488,PARQUE NACIONAL DO JAMANXIM,29,267,Park,Protection Integral,Federal,2006,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,3,273109.027,15,50635.3426,8534.706413,0.39050516,175.8468989
192,Estacio ecologico RIO ACRE,30,68,Esta,Protection Integral,Federal,1981,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,23,604330.0295,20,474086.7784,736.020527,,
188,Estacio ecologico DE NIQUIC,31,60,Esta,Protection Integral,Federal,1985,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,0,380411.0958,59,286635.033,3088.615474,2153.133499,9.738699789
191,Estacio ecologico JUAMI-JAPURs,32,72,Esta,Protection Integral,Federal,1985,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,45,838549.3727,20,723663.4138,8594.361972,,0.467178469
559,RESERVA BIOLiGICA NASCENTES SERRA DO CACHIMBO,33,216,Biological Reserve,Protection Integral,Federal,2005,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,4,514992.5238,27,207490.3792,3289.232741,1730.997354,292.1439127
480,PARQUE NACIONAL DA SERRA DO DIVISOR,34,149,Park,Protection Integral,Federal,1989,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,23,884283.9382,20,721032.4538,8113.858608,0.018706859,172.3945248
484,PARQUE NACIONAL DE PACAdS NOVOS,35,163,Park,Protection Integral,Federal,1979,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,23,154968.8412,39,154961.5944,6693.582108,2025.178619,22.10151437
558,RESERVA BIOLiGICA DO UATUMC,36,213,Biological Reserve,Protection Integral,Federal,1990,Correct,Instituto Chico Mendes de Conserva/0o da Biodiversidade,,,,,,0,14465.44,59,4223.307397,9830.04286,,2.266077078
486,PARQUE NACIONAL DO ARAGUAIA,37,168,Park,Protection Integral,Federal,1959,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,28,179827.4341,34,163342.2796,5270.372391,3640.030813,36.67458131
487,PARQUE NACIONAL DO CABO ORANGE,38,169,Park,Protection Integral,Federal,1980,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,2,212251.6705,13,107313.696,4957.012237,3027.06524,18.57979973
190,Estacio ecologico DO JARI,39,67,Esta,Protection Integral,Federal,1982,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,46,24858.29823,7,102133.0749,2445.959509,,7.669390435
184,Estacio ecologico DE IQUe,40,55,Esta,Protection Integral,Federal,1981,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,40,122782.8819,22,81145.03078,2087.830321,648.3283527,22.41466349
483,PARQUE NACIONAL DE ANAVILHANAS,41,49,Park,Protection Integral,Federal,1981,Approximate,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,0,135196.2241,6,135201.7925,3609.213935,,5.449488609
491,PARQUE NACIONAL DO MONTE RORAIMA,42,174,Park,Protection Integral,Federal,1989,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,0,752470.7205,59,635600.4249,1345.096298,160.7473997,21.52411827
557,RESERVA BIOLiGICA DO TAPIRAPn,43,211,Biological Reserve,Protection Integral,Federal,1989,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,51,211864.599,49,139957.9812,985.920803,0.836768731,6.605301451
551,RESERVA BIOLiGICA DO GUAPORo,44,206,Biological Reserve,Protection Integral,Federal,1982,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,40,168000.8648,64,168008.419,5754.729586,2293.820527,34.01040404
494,PARQUE NACIONAL DO RIO NOVO,45,264,Park,Protection Integral,Federal,2006,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,4,373168.3716,71,125747.0504,5231.020932,111.0496153,95.42893767
553,RESERVA BIOLiGICA DO JARU,46,208,Biological Reserve,Protection Integral,Federal,1979,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,41,201205.8082,75,68150.65835,3309.739299,6.819196193,96.43467437
477,PARQUE NACIONAL DA CHAPADA DAS MESAS,47,272,Park,Protection Integral,Federal,2005,Approximate,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,5,35846.5642,30,35871.52545,1563.881772,1563.881427,
185,Estacio ecologico DE JUTA -SOLIMvES,48,56,Esta,Protection Integral,Federal,1983,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,45,717688.8812,20,616223.3966,2958.384578,,10.688588
179,Estacio ecologico DA SERRA DAS ARARAS,49,75,Esta,Protection Integral,Federal,1982,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,26,125402.2399,65,114053.5981,249.4186655,197.6517632,0.388286793
485,PARQUE NACIONAL DO ACARI,50,3410,Park,Protection Integral,Federal,2016,Correct,Instituto Chico Mendes de Conserva1/o da Biodiversidade,,,,,,4,377875.6811,37,217627.1174,8844.692965,142.9047621,10.09518104
243,FLORESTA NACIONAL DE TAPAJS,51,123,Forest,Sustainable Use,Federal,1974,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,3,66445.20589,28,66452.85092,5393.961505,,280.2498095
247,FLORESTA NACIONAL DO AMAN,52,271,Forest,Sustainable Use,Federal,2006,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,3,374936.0393,37,26072.97114,6805.808364,,50.04882229
584,RESERVA EXTRATIVISTA ALTO TARAUACa,53,274,Extractive Reserve,Sustainable Use,Federal,2000,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,23,766322.1854,20,601611.217,1451.904161,,37.16254852
674,RESERVA PARTICULAR DO PATRIMnNIO NATURAL SONHADA,54,2216,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2010,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,28,179785.4132,46,179834.5654,8.46679594,0.098131851,
669,RESERVA PARTICULAR DO PATRIMnNIO NATURAL IRMdOS SATELIS,55,3090,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2012,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,40,152273.0024,64,152287.4205,0.388513686,,0.119930522
250,FLORESTA NACIONAL DO CREPORI,56,270,Forest,Sustainable Use,Federal,2006,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,4,406590.5901,37,78446.50691,7287.817339,,30.32355554
42,Area DE RELEVANTE INTERESSE Ecologica JAVARI BURITI,57,38,Area of Relevant Ecological Interest,Sustainable Use,Federal,1985,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,45,749929.3632,20,639058.7706,134.7018305,,
587,RESERVA EXTRATIVISTA ARAPIXI,58,285,Extractive Reserve,Sustainable Use,Federal,2006,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,23,322840.5359,20,157582.8797,1286.234798,0.040991623,26.20657691
251,FLORESTA NACIONAL DO IQUIRI,59,1612,Forest,Sustainable Use,Federal,2008,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,23,124147.25,14,0,14211.19555,44.53639614,100.0238245
604,RESERVA EXTRATIVISTA DO M DIO PURaS,60,1606,Extractive Reserve,Sustainable Use,Federal,2008,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,45,192053.8874,19,87550.17568,5882.680695,35.47827215,44.22265621
626,RESERVA EXTRATIVISTA MARINHA CAETaTAPERA U,61,248,Extractive Reserve,Sustainable Use,Federal,2005,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,51,445162.2602,80,445156.9128,294.2081161,4.222839616,27.53590455
223,FLORESTA NACIONAL DE ANAU,62,84,Forest,Sustainable Use,Federal,2005,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,0,283837.4983,59,188294.5431,2791.730242,886.6460176,6.180903333
227,FLORESTA NACIONAL DE CAXIUANn,63,89,Forest,Sustainable Use,Federal,1961,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,46,137775.6974,10,96856.42231,3297.744591,2.578236311,18.20662021
595,RESERVA EXTRATIVISTA CHICO MENDES,64,222,Extractive Reserve,Sustainable Use,Federal,1990,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,23,365508.636,20,247550.4688,8840.266058,,491.4337693
244,FLORESTA NACIONAL DE TAPIRAPn-AQUIRI,65,124,Forest,Sustainable Use,Federal,1989,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,51,226232.0232,49,157786.172,1948.068137,0.341155006,23.15957012
236,FLORESTA NACIONAL DE MULATA,66,99,Forest,Sustainable Use,Federal,2001,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,3,141379.563,45,0,2269.615368,445.6877169,8.121520155
38,Area de protecao AMBIENTAL MEANDROS DO ARAGUAIA,67,24,Enviornmental Protection Area,Sustainable Use,Federal,1998,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,36,191222.2747,56,191277.7129,2879.138923,2002.506283,16.99315963
249,FLORESTA NACIONAL DO ARIPUANn,68,3409,Forest,Sustainable Use,Federal,2016,Correct,Instituto Chico Mendes de Conserva1/o da Biodiversidade,,,,,,41,271033.8396,75,174964.934,7358.730763,136.6517443,17.46132875
600,RESERVA EXTRATIVISTA DO CIRInCO,69,1519,Extractive Reserve,Sustainable Use,Federal,1992,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,5,145200.2199,73,52992.84377,80.83571485,3.107467103,57.39352108
588,RESERVA EXTRATIVISTA ARIeCA PRUANa,70,273,Extractive Reserve,Sustainable Use,Federal,2005,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,51,142722.1337,80,142729.5258,864.9926367,12.82842589,101.5654256
622,RESERVA EXTRATIVISTA MAPU,71,244,Extractive Reserve,Sustainable Use,Federal,2005,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,16,219274.8624,31,219267.2145,982.9553046,87.29794194,31.2451078
667,RESERVA PARTICULAR DO PATRIMnNIO NATURAL GIBEiO,72,2708,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2012,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,40,152426.24,64,152440.6327,0.295801983,,0.043242936
672,RESERVA PARTICULAR DO PATRIMnNIO NATURAL OSoRIO REIMaO,73,2146,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2009,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,51,175062.5117,80,175066.5471,0.091758077,,0.01840446
642,RESERVA EXTRATIVISTA RIO IRIRI,74,280,Extractive Reserve,Sustainable Use,Federal,2006,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,3,183617.8236,15,180348.7775,3996.905662,,77.53936537
225,FLORESTA NACIONAL DE BOM FUTURO,75,116,Forest,Sustainable Use,Federal,1988,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,45,36163.23079,68,36156.85414,932.1767606,0.170345259,133.4240774
647,RESERVA EXTRATIVISTA RIOZINHO DA LIBERDADE,76,257,Extractive Reserve,Sustainable Use,Federal,2005,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,23,794399.2374,20,626429.0189,3143.317559,,56.02168196
246,FLORESTA NACIONAL DE URUPADI,77,3408,Forest,Sustainable Use,Federal,2016,Correct,Instituto Chico Mendes de Conserva1/o da Biodiversidade,,,,,,4,398711.4992,37,108888.2607,5317.170407,17.75636613,30.67775007
40,Area de protecao AMBIENTAL DOS CAMPOS DE MANICORr,78,3407,Enviornmental Protection Area,Sustainable Use,Federal,2016,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,41,266625.24,75,182389.082,1490.572939,91.01002919,5.144090601
582,RESERVA EXTRATIVISTA  DO RIO CAUTaRIO,79,238,Extractive Reserve,Sustainable Use,Federal,2001,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,23,264088.0428,39,264082.7837,705.9913483,136.7687039,10.27956222
632,RESERVA EXTRATIVISTA MARINHA TRACUATEUA,80,250,Extractive Reserve,Sustainable Use,Federal,2005,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,51,430926.648,80,430921.9876,200.5753632,10.92751034,9.433520096
591,RESERVA EXTRATIVISTA BARREIRO DAS ANTAS,81,221,Extractive Reserve,Sustainable Use,Federal,2001,Correct,Instituto Chico Mendes de Conserva 0o da Biodiversidade,,,,,,23,222714.2425,39,222712.1033,999.1513314,17.4063684,19.9238043
238,FLORESTA NACIONAL DE PURUS,82,121,Forest,Sustainable Use,Federal,1988,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,23,306779.914,20,134878.2291,2477.788551,,23.66002058
230,FLORESTA NACIONAL DE ITAITUBA I,83,95,Forest,Sustainable Use,Federal,1998,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,3,346644.7881,37,2143.76826,2119.13486,,6.822251011
226,FLORESTA NACIONAL DE CARAJCS,84,88,Forest,Sustainable Use,Federal,1998,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,51,242165.004,49,121863.818,3863.420096,155.416697,65.9251791
561,RESERVA DE DESENVOLVIMENTO SUSTENT VEL  ITATUPv-BAQUId,85,218,Sustainable Development Reserve,Sustainable Use,Federal,2005,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,46,116502.8506,31,159392.027,679.1908019,,0.25921271
245,FLORESTA NACIONAL DE TEFe,86,112,Forest,Sustainable Use,Federal,1989,Correct,Instituto Chico Mendes de Conserva/0o da Biodiversidade,,,,,,45,505524.1248,19,447082.0957,8739.940085,110.3739744,117.0639283
254,FLORESTA NACIONAL DO TRAIRCO,87,265,Forest,Sustainable Use,Federal,2006,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,3,210396.0577,15,57271.85342,2579.699888,,32.99642071
590,RESERVA EXTRATIVISTA BAIXO JURUr,88,230,Extractive Reserve,Sustainable Use,Federal,2001,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,45,582433.2327,19,515571.9499,1810.48337,40.77542893,26.47959395
606,RESERVA EXTRATIVISTA DO RIO JUTAv,89,239,Extractive Reserve,Sustainable Use,Federal,2002,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,45,655961.9334,19,556032.4364,2803.096732,7.133476564,20.83638669
665,RESERVA PARTICULAR DO PATRIMnNIO NATURAL FAZENDA BOSCO,90,2105,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2005,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,40,109084.5577,64,109088.1382,4.553082871,,0.002885853
653,RESERVA EXTRATIVISTA TAPAJCS ARAPIUNS,91,259,Extractive Reserve,Sustainable Use,Federal,1998,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,3,92584.47155,28,92597.22935,6898.832035,9.582804635,533.960555
621,RESERVA EXTRATIVISTA MAE GRANDE DE CURUaA,92,243,Extractive Reserve,Sustainable Use,Federal,2002,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,51,377348.6904,80,377346.9024,255.4260072,,10.25626967
596,RESERVA EXTRATIVISTA CHOCOARn-MATO GROSSO,93,223,Extractive Reserve,Sustainable Use,Federal,2002,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,51,402253.3126,80,402249.7614,29.27493307,0.116082015,0.637389569
242,FLORESTA NACIONAL DE SARACC-TAQUERA,94,109,Forest,Sustainable Use,Federal,1989,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,3,231880.5457,11,100220.2453,4595.119648,1.56388686,184.0975927
650,RESERVA EXTRATIVISTA SAO JOoO DA PONTA,95,228,Extractive Reserve,Sustainable Use,Federal,2002,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,51,375643.6544,80,375642.2534,35.90482771,0.024333827,1.577807125
224,FLORESTA NACIONAL DE BALATA-TUFARI,96,85,Forest,Sustainable Use,Federal,2005,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,45,138650.6852,68,138653.5752,10569.13817,44.1620565,55.2946627
627,RESERVA EXTRATIVISTA MARINHA CUINARANA,97,3134,Extractive Reserve,Sustainable Use,Federal,2014,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,51,392869.2496,80,392866.8177,114.610071,2.053534906,12.29518204
222,FLORESTA NACIONAL DE AMAP,98,113,Forest,Sustainable Use,Federal,1989,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,2,31599.2726,61,0,5002.173022,,9.394622965
629,RESERVA EXTRATIVISTA MARINHA DE SOURE,99,254,Extractive Reserve,Sustainable Use,Federal,2001,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,16,330124.8019,31,330117.9505,221.7035475,8.452225487,13.50860287
612,RESERVA EXTRATIVISTA GURUPC-MELGAaO,100,288,Extractive Reserve,Sustainable Use,Federal,2006,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,46,140831.1032,10,166410.8527,1520.273062,47.63324526,61.16111915
253,FLORESTA NACIONAL DO JAMARI,101,118,Forest,Sustainable Use,Federal,1984,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,41,35204.71115,66,35195.34127,2131.005863,,73.96274541
240,FLORESTA NACIONAL DE S O FRANCISCO,102,108,Forest,Sustainable Use,Federal,2001,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,23,501987.8249,20,357313.719,201.7195752,,1.107274986
599,RESERVA EXTRATIVISTA DO CAZUMBe-IRACEMA,103,232,Extractive Reserve,Sustainable Use,Federal,2002,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,23,452128.9063,20,291319.8107,7226.313531,,84.15870983
639,RESERVA EXTRATIVISTA RENASCER,104,1810,Extractive Reserve,Sustainable Use,Federal,2009,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,3,82325.77642,28,82322.1562,2166.128948,218.386128,170.9530368
234,FLORESTA NACIONAL DE MACAUC,105,120,Forest,Sustainable Use,Federal,1988,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,23,493403.136,20,347071.4362,1681.487359,,2.828894855
589,RESERVA EXTRATIVISTA AUAT -PARANv,106,220,Extractive Reserve,Sustainable Use,Federal,2001,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,0,724858.4533,19,697658.3626,1522.755101,,17.25047112
239,FLORESTA NACIONAL DE RORAIMA,107,106,Forest,Sustainable Use,Federal,1989,Approximate,Instituto Chico Mendes de Conservaumo da Biodiversidade,,,,,,0,550185.1418,59,441901.2334,1887.936084,,28.61019022
619,RESERVA EXTRATIVISTA LAGO DO CUNIa,108,233,Extractive Reserve,Sustainable Use,Federal,1999,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,41,32475.05076,66,32484.05182,489.4475262,56.91951298,2.320039293
235,FLORESTA NACIONAL DE MAPI -INAUINa,109,126,Forest,Sustainable Use,Federal,1989,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,23,331704.4481,20,160309.8915,3567.145675,,5.50510692
671,RESERVA PARTICULAR DO PATRIMnNIO NATURAL NOVA AURORA,110,2709,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2011,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,40,137252.2684,64,137266.6694,0.174938275,,0.174938302
614,RESERVA EXTRATIVISTA IPAe-ANILZINHO,111,241,Extractive Reserve,Sustainable Use,Federal,2005,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,51,58423.50327,80,58431.33792,570.516985,133.9011219,187.4953298
583,RESERVA EXTRATIVISTA ALTO JURUe,112,1517,Extractive Reserve,Sustainable Use,Federal,1990,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,23,800573.4208,20,638498.637,5160.834618,0.173616771,149.1145042
231,FLORESTA NACIONAL DE ITAITUBA II,113,96,Forest,Sustainable Use,Federal,1998,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,3,287424.0821,15,48.66579383,3974.25438,,78.68032385
228,FLORESTA NACIONAL DE HUMAITo,114,92,Forest,Sustainable Use,Federal,1999,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,41,105274.9627,75,25415.71261,4585.873993,139.0691763,14.00589862
664,RESERVA PARTICULAR DO PATRIMnNIO NATURAL CATEDRAL DO JALAPaO,115,2082,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2010,Correct,Instituto Chico Mendes de Conservacao da Biodiversidade,,,,,,28,166968.8658,12,5865.500364,3.098945979,3.09894597,
