OBJECTID,ID_UC0,Name,ID_WCMC2,class,type,gov_level,year_created,GID7,QUALIDAD8,ATO_LEGA9,DT_ULTIM10,CODIGO_U11,NOME_ORG12,Type,GID0,SIGLA1,OBS_AREA2,REV3,EM_REVIS4,CODAREAR5,ADR6,AREAETNO7,POPULANO8,GRUPOS9,UF10,MUNICSPI11,ETAPA12,SITUACAO13,TITULO14,DOCUMENT15,DATADOC16,EXTENSO17,TIPO18,CDOC19,FLUXO20,CODTI21,NOME_ARE22,NOME_TI23,CODAREA24,Near_OpDam_ID,NEAR_DIST_OpDam_m,NEAR_FID,NEAR_DIST
635,,,,,,,,,,,,,,0,468,TI, ,0,0,0,Manaus,X,73,Mura,AM,Manicoro,Conclurdo,Regularizada,Certidao nd  010,Registro SPU,9/26/2006,Principal,1,Reg SPU,380,4300,Ariramba,Ariramba,4301,41,311338.863,75,299465.4781
572,,,,,,,,,,,,,,0,369,TI, ,0,0,0,Sao Lu s,VII,198,GuajL,MA,"Centro Novo do Maranhao, Governador Newton Bello, Sao Joao do Caro, Zt Doca",Conclu do,Regularizada,Certidao nd 01,Registro SPU,9/28/2009,Principal,1,Reg SPU,380,4800,Awa,Awa,4801,51,340848.0956,73,247189.3427
599,,,,,,,,,,,,,,0,407,TI, ,0,0,0,Col,VIII,65,MenkrangnotU,PA,Altamira,Conclurdo,Regularizada,Certidao s/n,Registro SPU,10/14/2008,Principal,1,Reg SPU,380,6100,Ba0,Ba0,6101,3,403375.7854,15,235388.4776
514,,,,,,,,,,,,,,0,286,TI, ,0,1,4902,Sao Luis,VII,1976,Guajajara,MA,Grajaj,Conclu,Regularizada,Certidao 002,Registro SPU,2/29/1984,Principal,1,Reg SPU,380,4900,Bacurizinho,Bacurizinho,4901,5,179806.0902,76,136187.6904
626,,,,,,,,,,,,,,0,448,TI, ,2,0,0,Sao Luns,VII,1976,Guajajara,MA,Grajaj,Planejamento demarcaaao,Declarada,"Portaria nt 1234, de 30 de junho de 2008",Portaria Declarat ria,6/30/2008,Revisao,2,Port Decl,230,4900,Bacurizinho,Bacurizinho,4902,5,169384.0654,76,125775.2554
364,,,,,,,,,,,,,,0,55,TI, ,0,0,0,Reden,VIII,82,Kayap,PA,"Cumaru do Norte, Sao F",Conclu do,Regularizada,Certidao nd 06,Registro SPU,2/10/2004,Principal,1,Reg SPU,380,5000,Badjonkore,Badjonkore,5001,28,383309.5016,46,383346.1279
485,,,,,,,,,,,,,,0,226,TI, ,0,0,0,Cuiab,XVII,0,Guat,MT,"Barao de Melgaao, Pocont",Planejamento demarcacao,Declarada,"Portaria nt 1750, de 22 de maio de 2009",Portaria Declarat ria,5/22/2009,Principal,1,Port Decl,230,5100,Baia do Guatl,Baia do Guatl,5101,19,173413.6641,36,173419.4192
674,,,,,,,,,,,,,,0,542,TI, ,0,0,0,Porto Velho,XIV,0,Tor,AM,HumaitV,Planejamento,Em estudo,Inclusao da terra na lista,Memorando DAF - Inclusao no BD,2/4/2004,Principal,1,XXX,10,53100,Baixo Grande,Baixo Grande,53101,41,331886.727,75,296818.7864
697,,,,,,,,,,,,,,0,565,TI, ,0,0,0,Manaus,XII,2515, ,AM,Barcelos,Estudos complementares,Em estudo,"Portaria nm 12, de 12 de janeiro de 2007",Portaria FUNAI - Cria GT,1/12/2007,Principal,1,Port GT,40,62100,Baixo Rio Negro,Baixo Rio Negro,62101,0,453227.3599,59,415018.2207
745,,,,,,,,,,,,,,0,619,TI, ,0,0,0,Sao Gabriel da Cachoeira,I,0,Maku e Tukano,AM,Santa Isabel do Rio Negro,Planejamento,Em estudo,Memo CGID,Memorando DAF - Inclusao no BD,6/2/2008,Principal,1,XXX,10,67400,Baixo Rio Negro II,Baixo Rio Negro II,67401,0,652005.5121,59,625409.4142
