"","ID","Municipality"
"752",594," Nova Esperana do Piri "
"753",594," Paragominas"
"754",594," Santa Luzia do Para"
"755",595,"Araguana"
"756",595," Centro do Guilherme"
"757",595," Centro Novo do Maranhao"
"758",595," Maranhaozinho"
"759",595," Santa Luzia do Parux"
"760",595," Za Doca"
"761",596,"ApiacAs"
"762",596," Jacareacanga"
"763",597,"Jacareacanga"
"764",598,"Jacareacanga"
"765",599,"Altamira"
"766",600,"Santo Ant"
"767",601,"Campo Novo do Parecis"
"768",601," Diamantino"
"769",601," Nova MaringM"
"770",602,"Bom Jardim"
"771",603,"Brasnorte"
"772",604,"Brasnorte"
"773",605,"Altamira"
"774",605," Guaranta do Norte"
"775",605," Matupe"
"776",606,"Anori"
"777",606," Beruri"
"778",606," Tapaui"
"779",607,"Tapaun"
"780",608,"Altamira"
"781",608," Matupa"
"782",608," Peixoto de Azevedo"
"783",608," Sao FIlix do Xingu"
"784",609,"Assis Brasil"
"785",609," Sena Madureira"
"786",610,"Assis Brasil"
"787",610," Sena Madureira"
"788",611,"Campos de Jalio"
"789",611," Nova Lacerda"
"790",612,"Tangar"
"791",613,"Campo Novo do Parecis"
"792",613," Sapezal"
"793",614,"Sapezal"
"794",615,"Conquista D'Oeste"
"795",616,"Altamira"
"796",616," Placas"
"797",616," Uruara"
"798",617,"Colniza"
"799",618,"Barra do GarRas"
"800",619,"Barra do Gar as"
"801",619," General Carneiro"
"802",620,"Amajari"
"803",621,"Boa Vista"
"804",621," Pacaraima"
"805",622,"Amarante do Maranhao"
"806",623,"Lagoa da Confusao"
"807",624,"Canutama"
"808",624," Labrea"
"809",625,"Barra do Corda"
"810",625," Fernando Falcao"
"811",625," Formosa da Serra Negra"
"812",625," Mirador"
"813",626,"Grajaj"
"814",627,"Maraba"
"815",627," Sao Domingos do Araguaia"
"816",627," Sao Geraldo do Araguaia"
"817",628,"Alto Alegre"
"818",628," Barcelos"
"819",628," Boa Vista"
"820",628," Caracaral"
"821",628," Mucajaa"
"822",628," Santa Isabel do Rio Negro"
"823",628," Sao Gabriel da Cachoeira"
"824",629,"Boca do Acre"
"825",630,"Guajaro-Mirim"
"826",631,"Borba"
"827",631," Novo Aripuana"
"828",632,"Amatur"
"829",633,"Amatur"
"830",634,"Jutan"
"831",635,"Manicoro"
"832",636,"Manicora"
"833",637,"Humaiti"
"834",637," Manicor"
"835",638,"Araguacema"
"836",638," Santa Maria das Barreiras"
"837",639,"Careiro da Varzea"
"838",640,"Barra do Corda"
"839",640," Fernando Falcao"
"840",641,"Barra do Corda"
"841",642,"Amarante do Maranhao"
"842",643,"Aurora do Para"
"843",643," Santa Maria do Para"
"844",643," Toma-Aiu"
"845",644,"Goianysia do Para"
"846",645,"Portel"
"847",646,"Vituria do Xingu"
"848",647,"Santarem"
"849",648,"Santarnm"
"850",649,"Santarnm"
"851",650,"Itamarati"
"852",651,"Santar"
"853",652,"Santarnm"
"854",653,"Santarnm"
"855",654,"Santarnm"
"856",655,"Santarum"
"857",656,"Aveiro"
"858",657,"Itaituba"
"859",658,"Itaituba"
"860",659,"Itaituba"
"861",659," Trairao"
"862",660,"Autazes"
"863",661,"Autazes"
"864",662,"Autazes"
"865",663,"Autazes"
"866",664,"Autazes"
"867",664," Careiro da V rzea"
"868",665,"Autazes"
"869",666,"Autazes"
"870",667,"Borba"
"871",668,"Manaquiri"
"872",669,"Manaquiri"
"873",670,"Manacapuru"
"874",671,"Beruri"
"875",672,"Manaus e Novo Airao"
"876",673,"Borba"
"877",674,"HumaitV"
"878",675,"Tapaun"
"879",676,"Aripuana"
"880",677,"Ji-Parana"
"881",678,"Sao Francisco do Guaporo"
"882",678," Seringueiras"
"883",679,"Comodoro"
"884",680,"Comodoro"
"885",680," Juina"
"886",680," Sapezal"
"887",681,"Maraba"
"888",681," Sao Domingos do Araguaia"
"889",681," Sao Geraldo do Araguaia"
"890",682,"Santa Cruz do Xingu"
