OBJECTID,MUNICIPALITY
682,Santa Cruz do Xingu
682, Sao F
683,Marcel
684,Ga
685,Paranatinga
686,Canarana
686, Cocalinho
686, Ribeirao Cascalheira
687,Agua Boa
687, Campin
688,Agua Boa
688, Campin(polis
688, Nova Xavantina
689,Campinepolis
689, Novo Sao Joaquim
689, Santo Ant
690,Agua Boa
690, Cocalinho
690, Nova Nazaro
691,General Carneiro
691, Novo Sao Joaquim
691, Poxor
692,Santo Antonio do Leverger
693,Diamantino
693, Nortelandia
694,Brasnorte
695,Tangar
696,Nova Lacerda
696, Vila Bela da Santossima Trindade
697,Barcelos
698,Sao Gabriel da Cachoeira
699,Jurum
700,Jurum
700, Jutau
701,Santo Ant
702,Sao Paulo de Olivenva
703,Boca do Acre
704,Atalaia do Norte
705,Benjamin Constant
706,Candeias do Jamari
706, Porto Velho
707,Carauari
708,Carauari
709,Tapauh
710,Pauini
711,Pauini
712,Pauini
713,Boca do Acre
714,Boca do Acre
715,Boca do Acre
716,Boca do Acre
717,Boca do Acre
718,Feijn
719,Sena Madureira
720,Rodrigues Alves
721,Assis Brasil
721, Sena Madureira
722,Marechal Thaumaturgo
723,MCncio Lima
724,MCncio Lima
725,Itaituba
726,Santo Antonio do Leverger
727,Benjamin Constant
727, Sao Paulo de Olivenoa
728,Benjamin Constant
728, Sao Paulo de Oliven
729,Ju
729,na
729, Vilhena
730,Comodoro
730, Juina
730, Sapezal
731,Comodoro
731, Juina
731, Sapezal
732,Ji-ParanN
733,Careiro da Vdrzea
734,Senador JosU Porf
735,Paragominas
736,Amatur
737,CorumbG
738,Tocantinapolis e Nazar 
739,Luciara e Santa Terezinha
740,Luciara
741,Vituria do Xingu
742,Santarbm
743,Santarmm
744,Santarum
745,Santa Isabel do Rio Negro
746,Pontes e Lacerda
747,Oiapoque
748,Quer
749,Oriximin
750,Aveiro
751,Apiaces
752,Autazes
753,Cotriguasu
754,Juara
755,Brasnorte
756,Santa Terezinha
757,Oriximin
758,Chupinguaia
758, Corumbiara
758, Parecis
758, Pimenteiras do Oeste
759,Luciara
760,Marechal Thaumaturgo
761,Benjamin Constant
762,Colniza
762, Rondol ndia
763,Jordao
764,Careiro
765,Canutama
765, Librea
765, Tapauo
766,Floresta do Araguaia
766, Pau d'Arco
766, Redenoao
767,Lambrea
767, Porto Velho
768,Lambrea
769,Pium
770,Benjamin Constant
771,Tucuru
772,Sao Gabriel da Cachoeira
773,Santa Maria das Barrreiras
774,Oiapoque
775,Jutam
775, Tonantins
776,Careiro
777,Santo Antinio do Ipe
778,Altamira
779,Santo Ant
780,Conquista D'Oeste
780, Nova Lacerda
780, Vila Bela da Santassima Trindade
781,Formoso do Araguaia
782,Sandolandia
783,Caroebe
783, Faro
783, NhamundK
783, Oriximin
783,
783, Sao Joao da Baliza
783, Urucara
784,Borba
784, Novo Aripuana
785,Tonantins
786,Guajaro-Mirim
787,Humaiti
787, Manicoro
788,Belterra
789,Belterra
790,Tonantins
791,Lambrea
791, Tapaua
792,Luciara
792, Sao Felix do Araguaia
793,Luciara
794,Tonantins
795,Tonantins
796,Matupa
797,Japur 
797, Santa Isabel do Rio Negro
