Name,OBJECTID,ID_UC,RESERVE_TYPE,CLASS,GOV_LEVEL,YEAR_CREATED,POLYGON_QUALITY,ID_TI,ADR6,POPULATION,OPDAM_ID,NEAR_DIST_OpDam_m,DAM_ID,NEAR_DIST_ALLDAMS_m,TOTAL_AREA_KM2,NEVER_FOR_KM2,DEF_AREA_KM2
Floresta Nacional Do Trairco,87,265,Forest,Sustainable Use,Federal,2006,Correct,,,,3,210396.0577,15,57271.85342,2579.699888,,32.99642071
Reserva Extrativista Baixo Jurur,88,230,Extractive Reserve,Sustainable Use,Federal,2001,Correct,,,,45,582433.2327,19,515571.9499,1810.48337,40.77542893,26.47959395
Reserva Extrativista Do Rio Jutav,89,239,Extractive Reserve,Sustainable Use,Federal,2002,Correct,,,,45,655961.9334,19,556032.4364,2803.096732,7.133476564,20.83638669
Reserva Particular Do Patrimnnio Natural Fazenda Bosco,90,2105,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2005,Correct,,,,40,109084.5577,64,109088.1382,4.553082871,,0.002885853
Reserva Extrativista Tapajcs Arapiuns,91,259,Extractive Reserve,Sustainable Use,Federal,1998,Correct,,,,3,92584.47155,28,92597.22935,6898.832035,9.582804635,533.960555
Reserva Extrativista Mae Grande De Curuaa,92,243,Extractive Reserve,Sustainable Use,Federal,2002,Correct,,,,51,377348.6904,80,377346.9024,255.4260072,,10.25626967
Reserva Extrativista Chocoarn-Mato Grosso,93,223,Extractive Reserve,Sustainable Use,Federal,2002,Correct,,,,51,402253.3126,80,402249.7614,29.27493307,0.116082015,0.637389569
Floresta Nacional De Saracc-Taquera,94,109,Forest,Sustainable Use,Federal,1989,Correct,,,,3,231880.5457,11,100220.2453,4595.119648,1.56388686,184.0975927
Reserva Extrativista Sao Jooo Da Ponta,95,228,Extractive Reserve,Sustainable Use,Federal,2002,Correct,,,,51,375643.6544,80,375642.2534,35.90482771,0.024333827,1.577807125
Floresta Nacional De Balata-Tufari,96,85,Forest,Sustainable Use,Federal,2005,Correct,,,,45,138650.6852,68,138653.5752,10569.13817,44.1620565,55.2946627
Reserva Extrativista Marinha Cuinarana,97,3134,Extractive Reserve,Sustainable Use,Federal,2014,Correct,,,,51,392869.2496,80,392866.8177,114.610071,2.053534906,12.29518204
Floresta Nacional De Amap,98,113,Forest,Sustainable Use,Federal,1989,Correct,,,,2,31599.2726,61,0,5002.173022,,9.394622965
Reserva Extrativista Marinha De Soure,99,254,Extractive Reserve,Sustainable Use,Federal,2001,Correct,,,,16,330124.8019,31,330117.9505,221.7035475,8.452225487,13.50860287
Reserva Extrativista Gurupc-Melgaao,100,288,Extractive Reserve,Sustainable Use,Federal,2006,Correct,,,,46,140831.1032,10,166410.8527,1520.273062,47.63324526,61.16111915
Floresta Nacional Do Jamari,101,118,Forest,Sustainable Use,Federal,1984,Correct,,,,41,35204.71115,66,35195.34127,2131.005863,,73.96274541
Floresta Nacional De S O Francisco,102,108,Forest,Sustainable Use,Federal,2001,Correct,,,,23,501987.8249,20,357313.719,201.7195752,,1.107274986
Reserva Extrativista Do Cazumbe-Iracema,103,232,Extractive Reserve,Sustainable Use,Federal,2002,Correct,,,,23,452128.9063,20,291319.8107,7226.313531,,84.15870983
Reserva Extrativista Renascer,104,1810,Extractive Reserve,Sustainable Use,Federal,2009,Correct,,,,3,82325.77642,28,82322.1562,2166.128948,218.386128,170.9530368
Floresta Nacional De Macauc,105,120,Forest,Sustainable Use,Federal,1988,Correct,,,,23,493403.136,20,347071.4362,1681.487359,,2.828894855
Reserva Extrativista Auat -Paranv,106,220,Extractive Reserve,Sustainable Use,Federal,2001,Correct,,,,0,724858.4533,19,697658.3626,1522.755101,,17.25047112
Floresta Nacional De Roraima,107,106,Forest,Sustainable Use,Federal,1989,Approximate,,,,0,550185.1418,59,441901.2334,1887.936084,,28.61019022
Reserva Extrativista Lago Do Cunia,108,233,Extractive Reserve,Sustainable Use,Federal,1999,Correct,,,,41,32475.05076,66,32484.05182,489.4475262,56.91951298,2.320039293
Floresta Nacional De Mapi -Inauina,109,126,Forest,Sustainable Use,Federal,1989,Correct,,,,23,331704.4481,20,160309.8915,3567.145675,,5.50510692
Reserva Particular Do Patrimnnio Natural Nova Aurora,110,2709,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2011,Correct,,,,40,137252.2684,64,137266.6694,0.174938275,,0.174938302
Reserva Extrativista Ipae-Anilzinho,111,241,Extractive Reserve,Sustainable Use,Federal,2005,Correct,,,,51,58423.50327,80,58431.33792,570.516985,133.9011219,187.4953298
Reserva Extrativista Alto Jurue,112,1517,Extractive Reserve,Sustainable Use,Federal,1990,Correct,,,,23,800573.4208,20,638498.637,5160.834618,0.173616771,149.1145042
Floresta Nacional De Itaituba Ii,113,96,Forest,Sustainable Use,Federal,1998,Correct,,,,3,287424.0821,15,48.66579383,3974.25438,,78.68032385
Floresta Nacional De Humaito,114,92,Forest,Sustainable Use,Federal,1999,Correct,,,,41,105274.9627,75,25415.71261,4585.873993,139.0691763,14.00589862
Reserva Particular Do Patrimnnio Natural Catedral Do Jalapao,115,2082,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2010,Correct,,,,28,166968.8658,12,5865.500364,3.098945979,3.09894597,
Reserva Extrativista Marinha Mocapajuba,116,3132,Extractive Reserve,Sustainable Use,Federal,2014,Correct,,,,51,374384.5894,80,374383.2143,200.1442461,5.869251967,18.4403251
Area De Protecao Ambiental Do Igarapo Gelado,117,22,Enviornmental Protection Area,Sustainable Use,Federal,1989,Correct,,,,51,238739.3632,49,125325.4822,230.4486113,0.025001142,94.14553224
Reserva Extrativista Terra Grande Pracuuba,118,282,Extractive Reserve,Sustainable Use,Federal,2006,Correct,,,,51,253868.848,10,236238.0029,2036.652988,225.5303451,64.80319812
Reserva Extrativista Extremo Norte Do Tocantins,119,240,Extractive Reserve,Sustainable Use,Federal,1992,Correct,,,,5,142761.9691,73,62349.56183,90.35754248,6.448083677,83.88651754
Reserva Extrativista Rio Xingu,120,1635,Extractive Reserve,Sustainable Use,Federal,2008,Correct,,,,3,240929.3192,10,168269.8932,3029.410436,,38.72635872
Floresta Nacional Altamira,121,83,Forest,Sustainable Use,Federal,1998,Approximate,,,,3,294675.2066,15,106277.6579,7180.136134,0.084301257,163.7110412
Reserva Extrativista Do Lago Do Capan  Grande,122,242,Extractive Reserve,Sustainable Use,Federal,2004,Correct,,,,41,314406.4672,75,307354.1301,3015.310422,36.84017782,36.30631604
Reserva Extrativista Quilombo Do Frechal,123,1520,Extractive Reserve,Sustainable Use,Federal,1992,Correct,,,,51,566040.8875,73,490567.4718,96.760305,,96.7602434
Reserva Extrativista Maracann,124,227,Extractive Reserve,Sustainable Use,Federal,2002,Correct,,,,51,399140.8694,80,399137.6768,205.0345922,0.686355654,5.155780346
Floresta Nacional De Pau-Rosa,125,104,Forest,Sustainable Use,Federal,2001,Correct,,,,0,241205.6758,70,60064.55508,9904.502231,20.0921433,44.42350129
Reserva Particular Do Patrimnnio Natural Sesc Tepequam,126,1158,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2001,Schematic,,,,0,540455.6284,59,424663.0533,0.580593415,0.580593412,
Reserva Extrativista M Dio Jurur,127,235,Extractive Reserve,Sustainable Use,Federal,1997,Correct,,,,23,516100.725,20,385973.2672,2861.186636,,37.60698809
Reserva Extrativista De Cururupu,128,279,Extractive Reserve,Sustainable Use,Federal,2004,Correct,,,,51,564548.3066,73,509963.4763,829.6170549,,214.5123422
Floresta Nacional De Itacaiunas,129,117,Forest,Sustainable Use,Federal,1998,Correct,,,,51,243772.873,49,171451.0946,1353.593537,,200.2521119
Floresta Nacional Do Amazonas,130,114,Forest,Sustainable Use,Federal,1989,Correct,,,,0,451874.7283,59,373202.3693,21075.61518,9.895189063,66.42458117
Reserva Particular Do Patrimnnio Natural Fazenda Calixto,131,2106,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2009,Correct,,,,36,193216.7268,55,106544.4853,3.234798194,3.234798229,
Area De Protecao Ambiental Serra Da Tabatinga,132,12,Enviornmental Protection Area,Sustainable Use,Federal,1990,Correct,,,,28,262830.9826,21,94756.28071,381.9685086,378.8707607,
Reserva Particular Do Patrimnnio Natural Klagesi,133,2129,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2005,Correct,,,,51,339264.9927,80,339263.39,0.2391564,,0.038637822
Reserva Extrativista Riozinho Do Anfr Sio,134,258,Extractive Reserve,Sustainable Use,Federal,2004,Correct,,,,3,186787.9957,15,95361.27697,7362.40806,,38.80866191
Reserva Extrativista Mata Grande,135,226,Extractive Reserve,Sustainable Use,Federal,1992,Correct,,,,5,113774.2295,73,16777.33265,113.6856123,,104.0508356
Reserva Extrativista Rio Ouro Preto,136,256,Extractive Reserve,Sustainable Use,Federal,1990,Correct,,,,23,139100.6875,39,139098.33,1937.975386,154.7596865,180.3864377
Reserva Extrativista Rio Cajari,137,1518,Extractive Reserve,Sustainable Use,Federal,1990,Correct,,,,46,15056.27501,7,132732.7686,5616.227318,791.9988751,164.814409
Reserva Particular Do Patrimnnio Natural Ilhas Alexandre Rodrigues Ferreira,138,2121,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2009,Correct,,,,0,453864.257,59,416366.0939,3.194101628,,
Reserva Particular Do Patrimnnio Natural Aurora Natura,139,3077,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2012,Correct,,,,48,200054.9954,55,89402.96147,0.141057565,0.141057573,
Reserva Extrativista Marinha Mestre Lucindo,140,3133,Extractive Reserve,Sustainable Use,Federal,2014,Correct,,,,51,388615.6593,80,388613.4351,191.086937,0.300251754,24.5671313
Floresta Nacional De Santa Rosa Do Purus,141,107,Forest,Sustainable Use,Federal,2001,Correct,,,,23,621901.5967,20,463626.298,2217.767198,,34.62706288
Area De Protecao Ambiental Do Tapajos,142,268,Enviornmental Protection Area,Sustainable Use,Federal,2006,Correct,,,,3,385589.5642,37,14345.72313,20078.00738,26.88996635,877.3240386
Area De Relevante Interesse Ecologica Seringal Nova Esperanta,143,44,Area of Relevant Ecological Interest,Sustainable Use,Federal,1999,Correct,,,,23,436171.1426,20,331322.9251,24.35634109,,11.51088379
Reserva Extrativista Do Rio Unini,144,283,Extractive Reserve,Sustainable Use,Federal,2006,Correct,,,,0,229308.5134,6,229316.6021,8851.056013,194.8796548,26.36813798
Reserva Extrativista Marinha Arai-Peroba,145,247,Extractive Reserve,Sustainable Use,Federal,2005,Correct,,,,51,453281.0197,80,453275.3763,432.1638613,5.43830133,48.16970045
Reserva Extrativista Marinha De Gurupi-Pirio,146,249,Extractive Reserve,Sustainable Use,Federal,2005,Correct,,,,51,463660.5548,80,463653.8384,454.9812281,1.982562049,64.54889621
Reserva Particular Do Patrimnnio Natural Bico Do Javads,147,2744,Private Reservation of the Natural Heritage,Sustainable Use,Federal,2011,Correct,,,,28,193336.0656,34,173807.0653,26.19021943,10.05327581,0.074215907
Reserva Extrativista Lago Do Cedro,148,287,Extractive Reserve,Sustainable Use,Federal,2006,Correct,,,,48,358989.7492,79,219030.8293,1.53149425,,
Reserva Extrativista Itux,149,1628,Extractive Reserve,Sustainable Use,Federal,2008,Correct,,,,45,72069.03472,19,0,7502.969995,48.21351589,19.28471168
Floresta Nacional De Jatuarana,150,119,Forest,Sustainable Use,Federal,2002,Correct,,,,4,230523.6628,29,230529.3222,5545.794209,,12.29567959
Floresta Nacional Do Jamanxim,151,266,Forest,Sustainable Use,Federal,2006,Correct,,,,3,420887.3201,78,156731.3525,12692.30998,40.87664471,1502.828076
Reserva Extrativista Verde Para Sempre,152,260,Extractive Reserve,Sustainable Use,Federal,2004,Correct,,,,46,100561.9243,10,70036.08862,13332.50863,2993.920918,512.9440113
Area De Relevante Interesse Ecologica Projeto Dinsmica Biologica De Fragmentos Florestais,153,43,Area of Relevant Ecological Interest,Sustainable Use,Federal,1985,Correct,,,,0,61328.07304,6,61324.12016,32.79357265,,7.498276082
Floresta Nacional De Jacundo,154,97,Forest,Sustainable Use,Federal,2004,Correct,,,,41,26387.04849,66,26388.97293,2136.446613,8.260704814,36.66428637
Area De Protecao Ambiental Parque Linear Do Bindaee,155,2742,Enviornmental Protection Area,Sustainable Use,Municipal,2012,Schematic,,,,0,140360.372,6,140355.9927,0.06305584,,0.063055839
Area De Relevante Interesse Ecologico Parque Ambiental Antonio Danubio Loureneo Da Silva,156,1960,Area of Relevant Ecological Interest,Sustainable Use,Municipal,2011,Approximate,,,,51,303937.5691,80,303936.5834,0.039156973,,0.039156965
Area De Relevante Interesse Ecologico Museu Parque Seringal,157,2663,Area of Relevant Ecological Interest,Sustainable Use,Municipal,2012,Approximate,,,,51,306173.7021,80,306172.7968,0.012903487,,0.012903467
Reserva De Desenvolvimento Sustentnvel Do Tupi,158,2556,Sustainable Development Reserve,Sustainable Use,Municipal,2005,Schematic,,,,0,141529.1184,6,141526.6135,124.6294576,,30.30140548
Area De Protecao Ambiental Xeriuini,159,2976,Enviornmental Protection Area,Sustainable Use,Municipal,1999,Schematic,,,,0,271522.9432,59,247059.741,17781.00147,5914.673503,47.91947548
Area De Protecao Ambiental Municipal Do Arice-Auu,160,2832,Enviornmental Protection Area,Sustainable Use,Municipal,1999,Correct,,,,34,64572.35479,24,29185.13444,692.9195082,614.1624951,35.58461007
Area De Protecao Ambiental Taruma/Ponta Negra,161,2738,Enviornmental Protection Area,Sustainable Use,Municipal,2008,Schematic,,,,0,108001.6137,6,107999.6051,231.8457568,,119.7839137
Parque Natural Municipal Do Cancao,162,2855,Park,Protection Integral,Municipal,2007,Correct,,,,2,81814.75168,1,4025.797405,3.999733717,,1.392369647
