OBJECTID,ID_UC,Name,Reserve Type,Class,gov_level,year_created,Polygon_quality,Organization_group_name,ID_TI,ADR6,Population,State,Municipality,OpDam_ID,NEAR_DIST_OpDam_m,Dam_ID,NEAR_DIST_alldams
673,,Igarapp-A,Indigenous Reserve,Indigenous Reserve,Tribal,1997,,Mura,541,Manaus,266,AM,Borba,0,361099.2635,6,361095.0852
669,,IgarapT Paiol,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,Apurina,537,Manaus,34,AM,Manaquiri,0,242279.1429,6,242275.8067
629,,IgarapU Capana,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,Jamamadi,458,Rio Branco,40,AM,Boca do Acre,23,351292.2882,20,184673.2047
467,,IgarapU do Caucho,Indigenous Reserve,Indigenous Reserve,Tribal,1998,,Kaxinawn,198,Rio Branco,320,AC,"Feijn, Tarauace",23,657793.6206,20,489103.5026
433,,IgarapU Grande,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,Kamb,153,Manaus,42,AM,Alvaraes,0,615865.85,19,596878.0468
367,,IgarapU Lage,Indigenous Reserve,Indigenous Reserve,Tribal,1981,,Pakaanova,59,Guajar,314,RO,"Guajaro-Mirim, Nova Mamorr",23,121549.9809,39,121548.1351
732,,IgarapU Lourdes,Indigenous Reserve,Indigenous Reserve,Tribal,2002,,Gaviao,601,Cacoal,500,RO,Ji-ParanN,40,155971.8319,75,146120.3612
368,,IgarapU Ribeirao,Indigenous Reserve,Indigenous Reserve,Tribal,1981,,Pakaanova,60,GuajarU-Mirim,193,RO,Nova Mamorr,23,97727.53143,39,97727.93711
684,,Ikpeng,Indigenous Reserve,Indigenous Reserve,Tribal,2007,,Ikpeng,552,Xingu,0,MT,Ga,34,317597.4407,47,170135.7107
464,,Ilha do Camaleao,Indigenous Reserve,Indigenous Reserve,Tribal,1997,,Tikuna,195,Manaus,120,AM,Anama,0,295916.8676,6,295916.911
345,,Inauini/Teuini,Indigenous Reserve,Indigenous Reserve,Tribal,2000,,Jamamadi,19,Rio Branco,460,AM,"Boca do Acre, Pauini",23,337114.0923,20,164832.2117
551,,Inawebohona,Indigenous Reserve,Indigenous Reserve,Tribal,2009,,Av,333,Gurupi,97,TO,"Lagoa da Confusao, Pium",28,180154.3156,34,163323.0374
346,,Ipixuna,Indigenous Reserve,Indigenous Reserve,Tribal,2001,,Diahui,20,Rio Branco,54,AM,Humait,41,206472.883,75,188436.9501
715,,Iquirema,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,Jamamadi,583,Rio Branco,66,AM,Boca do Acre,23,276279.3263,20,106349.4614
603,,Irantxe,Indigenous Reserve,Indigenous Reserve,Tribal,2008,,Irantxe,417,Tangarn da Serra,250,MT,Brasnorte,24,196574.7732,54,1393.76916
604,,Irantxe,Indigenous Reserve,Indigenous Reserve,Tribal,1990,,Irantxe,418,Tangare da Serra,250,MT,Brasnorte,24,196574.7732,54,51650.08076
687,,Iso0'p,Indigenous Reserve,Indigenous Reserve,Tribal,2005,,Xavante,555,Campinepolis,0,MT,"Agua Boa, Campin",34,312943.5516,79,117576.6778
540,,Itaitinga,Indigenous Reserve,Indigenous Reserve,Tribal,2003,,Mura,317,Manaus,25,AM,Autazes,0,183791.9643,6,183782.7083
493,,Jabuti,Indigenous Reserve,Indigenous Reserve,Tribal,2002,,"Makuxi, Wapixana",248,Boa Vista,147,RR,Bonfim,0,567627.8535,59,450730.9321
559,,Jacamim,Indigenous Reserve,Indigenous Reserve,Tribal,2006,,"Jaricuna, Makuxi, Wapixana",349,Boa Vista,255,RR,"Bonfim, Caracara,",0,401558.5772,59,284617.6226
624,,Jacarepba/Katauixi,Indigenous Reserve,Indigenous Reserve,Tribal,2007,,Indios Isolados,442,Porto Velho,0,AM,"Canutama, Labrea",45,26156.95369,68,26168.15222
