Dam_ID,OpDam_ID,NAME,STAGE,LATITUDE,LONGITUDE,COMPFIN7,MUNIC,MUNIC2,STATE,RIVER,OUTPUT_KW,AREA_RES,FLOODED_AREA,CONTR_BEGI,RES_FILL,OPER_MONTH,OPER_YEAR
43,,Jubinha I,Basic Design Approved,-14.722444,-58.184978,N5O,Barra do Bugres, ,MT,Jubinha,11000,115.62,,,,,
44,,Juruena,Inventoried,-13.401294,-59.007447,N5O,Sapezal,Campos de Jolio,MT,Juruena (Trecho entre a foz do rio Ju0na e a ponte da rodovia MT-235),46000,1.94,,,,,
45,,Jutuarama,Technical Feasibility Registered,-1.331111,-54.494722,N5O,Monte Alegre, ,PA,Maicuru,66000,5.09,,,,,
46,29,Luis Eduardo Magalhees (Lajeado),Operational,-9.757222,-48.371389,SIM,Brejinho de Nazare,,TO,Tocantins,"902,500",703.95,45.63,1998,2001,12,2001
46,30,Luis Eduardo Magalhees (Lajeado),Operational,-9.757222,-48.371389,SIM,Ipueiras,,TO,Tocantins,"902,500",703.95,24.5,1998,2001,12,2001
46,31,Luis Eduardo Magalhees (Lajeado),Operational,-9.757222,-48.371389,SIM,Lajeado,,TO,Tocantins,"902,500",703.95,29.84,1998,2001,12,2001
46,32,Luis Eduardo Magalhees (Lajeado),Operational,-9.757222,-48.371389,SIM,Miracema do Tocantins,,TO,Tocantins,"902,500",703.95,74.47,1998,2001,12,2001
46,33,Luis Eduardo Magalhees (Lajeado),Operational,-9.757222,-48.371389,SIM,Palmas,,TO,Tocantins,"902,500",703.95,179.43,1998,2001,12,2001
46,34,Luis Eduardo Magalhees (Lajeado),Operational,-9.757222,-48.371389,SIM,Porto Nacional,,TO,Tocantins,"902,500",703.95,350.07,1998,2001,12,2001
47,,Magessi,Inventoried,-13.576389,-55.264957,N5O,Santa Rita do Trivelato,Sorriso,MT,Teles Pires,53000,60,,,,,
48,,Manso,Operational,-14.874444,-55.785833,SIM,Chapada dos Guimar‹es,,MT,Manso,"210,900",401.8,340.01,1988,2000,11,2000
48,,Manso,Operational,-14.874444,-55.785833,SIM,Nova Brasilndia,,MT,Manso,"210,900",401.8,61.79,1988,2000,11,2000
49,,Marabs,Technical Feasibility Registered,-5.316667,-49.066667,N4O,Marabo, ,PA,Tocantins,2160000,1115.4,,,,,
50,,Mocotd,Technical Feasibility Registered,-1.485833,-54.443611,N5O,Monte Alegre, ,PA,Maicuru,95000,26.17,,,,,
51,,Novo Acordo,Inventoried,-9.973611,-47.639722,N4O,Rio Sono,Novo Acordo,TO,do Sono,160000,76.33,,,,,
52,,Paiague,Technical Feasibility Registered,-13.217778,-57.518611,N5O,Campo Novo do Parecis,Nova Maringd,MT,do Sangue,35200,6.8,,,,,
53,,Parand,Technical Feasibility Registered,-12.666449,-47.812442,N4O,Parana, ,TO,Parana,95000,115,,,,,
54,,Parecis,Inventoried,-12.843611,-57.373889,N5O,Brasnorte,Nova Maringo,MT,do Sangue,74500,201.6,,,,,
55,,Pau D'Arco,Technical Feasibility Registered,-12.3775,-47.149722,N4O,Concei,Arraias,TO,Palma,64000,92.5,,,,,
56,37,Peixe Angical,Operational,-12.239083,-48.382369,SIM,Paran‹,Sao Salvador do Tocantins,TO,Tocantins,"498,750",318.45,186.23,2002,2006,6,2006
56,38,Peixe Angical,Operational,-12.239083,-48.382369,SIM,Peixe,Sao Salvador do Tocantins,TO,Tocantins,"498,750",318.45,24.46,2002,2006,6,2006
56,39,Peixe Angical,Operational,-12.239083,-48.382369,SIM,S‹o Salvador do Tocantins,Sao Salvador do Tocantins,TO,Tocantins,"498,750",318.45,107.76,2002,2006,6,2006
57,,Perdida 1,Technical Feasibility Registered,-9.235,-47.415556,N4O,Rio Sono,Centenerio,TO,Perdida,24000,15.8,,,,,
58,,Perdida 2,Technical Feasibility Registered,-9.346667,-47.865833,N4O,Rio Sono,Pedro Afonso,TO,Perdida,48000,35.43,,,,,
59,,Pitinga,Operational,-0.866389,-59.604722,N5O,Presidente Figueiredo, ,AM,Pitinga,24960,0,,,,,
60,40,Ponte de Pedra,Operational,-17.610278,-54.826944,SIM,Itiquira,,MT,Correntes,"176,100",15.62,7.32,2001,2004,7,2005
61,,Porto da Serra I,Inventoried,1.087,-51.925,N5O,Ferreira Gomes, ,AP,Araguari,54000,0,,,,,
62,,Rio Sono,Inventoried,-9.357222,-47.886944,N4O,Rio Sono, ,TO,do Sono,168000,33.6,,,,,
63,,Roncador,Inventoried,-12.268056,-57.644167,N5O,Brasnorte,Nova Maringo,MT,do Sangue,134000,289.2,,,,,
64,41,Rondon II,Operational,-11.9975,-60.697222,N6O,Pimenta Bueno,,RO,Comemoraç‹o,"73,500",75.87,75.87,2006,2009,7,2011
65,,Salto das Nuvens,Basic Design Approved,-14.632222,-57.744167,N5O,Tangara da Serra, ,MT,Sepotuba,20000,0,,,,,
66,,Samuel,Operational,-8.751647,-63.454364,SIM,Alto Para’so,,RO,Jamari,"216,750",679.51,23.59,1982,1988,7,1989
66,,Samuel,Operational,-8.751647,-63.454364,SIM,Candeias do Jamari,,RO,Jamari,"216,750",679.51,423.64,1982,1988,7,1989
66,,Samuel,Operational,-8.751647,-63.454364,SIM,Cujubim,,RO,Jamari,"216,750",679.51,2.03,1982,1988,7,1989
66,,Samuel,Operational,-8.751647,-63.454364,SIM,Itapu‹ do Oeste,,RO,Jamari,"216,750",679.51,230.26,1982,1988,7,1989
67,,Santa Isabel,Approved,-6.133333,-48.333333,N4O,Ananos,Palestina do Para,TO,Araguaia,1087000,0,,,,,
68,46,Santo Antonio,Operational,-8.801111,-63.949722,N6O,Porto Velho,,RO,Madeira,"2,286,080",518.82,518.82,2008,2011,3,2012
,47,Santo Antonio do Jari,Operational,-0.6496,-52.5163,,Almeirim,,PA,Jari,"373,400",31.7,17.99,2009,2014,9,2014
,48,Santo Antonio do Jari,Operational,-0.6496,-52.5163,,Laranjal do Jari,,AP,Jari,"373,400",31.7,21.15,2009,2014,9,2014
69,,Sao Domingos,Technical Feasibility Registered,-12.984444,-47.723889,N4O,Parana, ,TO,Parana,70000,50.9,,,,,
70,,Sao Luiz do Tapajas,Technical Feasibility Registered,-4.56936,-56.785085,N5O,Itaituba, ,PA,Tapajus,6130,722.25,,,,,
71,,Sao Manoel,Technical Feasibility Registered,-9.191389,-57.05,N5O,Paranata,Jacareacanga,MT,Teles Pires,746000,53,,,,,
72,49,Sao Salvador,Operational,-12.809825,-48.239303,SIM,Palmeir—polis,,v,Tocantins,"243,200",99.66,44.51,2006,2008,8,2009
72,50,Sao Salvador,Operational,-12.809825,-48.239303,SIM,Paran‹,,TO,Tocantins,"243,200",99.66,45.22,2006,2008,8,2009
72,51,Sao Salvador,Operational,-12.809825,-48.239303,SIM,Sao Salvador do Tocantins,,TO,Tocantins,"243,200",99.66,3.71,2006,2008,8,2009
73,,Serra Quebrada,Technical Feasibility Accepted,-5.659167,-47.472778,N4O,Governador Edison Lobao,Itaguatins,MA,Tocantins,1328000,386,,,,,
74,,Sinop,Technical Feasibility Registered,-11.269444,-55.451944,N5O,Itaiba,Cl0udia,MT,Teles Pires,775000,329.6,,,,,
75,,Tabajara,Technical Feasibility Registered,-8.904167,-62.172222,N6O,Machadinho D'Oeste, ,RO,Ji-Paranh,350000,128.8,,,,,
76,,Taboa,Inventoried,-7.207778,-45.465278,N4O,Sambaoba, ,MA,das Balsas,98000,221,,,,,
77,,Taquarizinho,Technical Feasibility Registered,-18.016667,-53.516667,N5O,Alto Araguaia,Alcinapolis,MT,Taquari,11000,5.04,,,,,
78,,Teles Pires,Technical Feasibility Accepted,-9.338807,-56.777096,N5O,Paranata,Jacareacanga,MT,Teles Pires,329000,123.4,,,,,
79,,Toricoejo,Technical Feasibility Registered,-15.251336,-53.081903,N5O,Barra do Gartas,Novo Sao Joaquim,MT,das Mortes,76000,47.9,,,,,
80,52,Tucurue I e II,Operational,-3.832222,-49.652222,SIM,Breu Branco,,PA,Tocantins,"8,535,000","3,513.29",238.33,1975,1984,12,1984
80,53,Tucurue I e II,Operational,-3.832222,-49.652222,SIM,Goianesia do Para,,PA,Tocantins,"8,535,000","3,513.29",546.18,1975,1984,12,1984
80,54,Tucurue I e II,Operational,-3.832222,-49.652222,SIM,Itupiranga,,PA,Tocantins,"8,535,000","3,513.29",154.9,1975,1984,12,1984
80,55,Tucurue I e II,Operational,-3.832222,-49.652222,SIM,Jacunda,,PA,Tocantins,"8,535,000","3,513.29",342.48,1975,1984,12,1984
80,56,Tucurue I e II,Operational,-3.832222,-49.652222,SIM,Maraba,,PA,Tocantins,"8,535,000","3,513.29",43.57,1975,1984,12,1984
80,57,Tucurue I e II,Operational,-3.832222,-49.652222,SIM,Nova Ipixuna,,PA,Tocantins,"8,535,000","3,513.29",124.91,1975,1984,12,1984
80,58,Tucurue I e II,Operational,-3.832222,-49.652222,SIM,Novo Repartimento,,PA,Tocantins,"8,535,000","3,513.29","1,441.30",1975,1984,12,1984
80,59,Tucurue I e II,Operational,-3.832222,-49.652222,SIM,Tucuru’,,PA,Tocantins,"8,535,000","3,513.29",621.62,1975,1984,12,1984
81,,Tupiratins,Technical Feasibility Accepted,-8.183333,-48.166667,N4O,Tupiratins, ,TO,Tocantins,820000,370,,,,,
