Name,UC_never_for_km
REF1GIO DE VIDA SILVESTRE METRMPOLE DA AMAZoNIA,0.877472366
RESERVA BIOL GICA CULUENE,33.51655796
RESERVA BIOLeGICA DE MAICURU,5.453690496
RESERVA BIOLeGICA RIO OURO PRETO,104.4357836
RESERVA BIOLeGICA TRAdADAL,28.41015113
RESERVA BIOLiGICA DO ABUFARI,367.2288492
RESERVA BIOLiGICA DO GUAPORo,2293.820527
RESERVA BIOLiGICA DO JARU,6.819196193
RESERVA BIOLiGICA DO LAGO PIRATUBA,3048.782775
RESERVA BIOLiGICA DO MANICORn,177.1843891
RESERVA BIOLiGICA DO TAPIRAPn,0.836768731
RESERVA BIOLiGICA NASCENTES SERRA DO CACHIMBO,1730.997354
RESERVA DE DESENVOLVIMENTO SUSTENT VEL DO MATUPIRI,39.77832927
RESERVA DE DESENVOLVIMENTO SUSTENTAVEL DO RIO MADEIRA,87.46712876
RESERVA DE DESENVOLVIMENTO SUSTENTmVEL AMANi,97.10906384
RESERVA DE DESENVOLVIMENTO SUSTENTmVEL ARIPUANt,0.658842025
RESERVA DE DESENVOLVIMENTO SUSTENTmVEL CANUMe,4.413474013
RESERVA DE DESENVOLVIMENTO SUSTENTmVEL DO JUMA,58.91669877
RESERVA DE DESENVOLVIMENTO SUSTENTmVEL DO RIO IRATAPURU,0.076076336
RESERVA DE DESENVOLVIMENTO SUSTENTmVEL MAMIRAUt,350.1032161
RESERVA DE DESENVOLVIMENTO SUSTENTnVEL BARARATI,9.492762588
RESERVA DE DESENVOLVIMENTO SUSTENTnVEL DO UATUMa,15.50984917
RESERVA DE DESENVOLVIMENTO SUSTENTnVEL PIAGAzU PURUS,1185.979178
RESERVA DE DESENVOLVIMENTO SUSTENTnVEL RIO AMAPa,64.75723521
RESERVA EXTRATIVISTA  DO RIO CAUTaRIO,136.7687039
RESERVA EXTRATIVISTA ALTO JURUe,0.173616771
RESERVA EXTRATIVISTA AQUARIQUARA,3.809142748
RESERVA EXTRATIVISTA ARAPIXI,0.040991623
RESERVA EXTRATIVISTA ARIeCA PRUANa,12.82842589
RESERVA EXTRATIVISTA BAIXO JURUr,40.77542893
RESERVA EXTRATIVISTA BARREIRO DAS ANTAS,17.4063684
RESERVA EXTRATIVISTA CANUTAMA,7.972155911
RESERVA EXTRATIVISTA CATUe-IPIXUNA,6.739486671
RESERVA EXTRATIVISTA CHOCOARn-MATO GROSSO,0.116082015
RESERVA EXTRATIVISTA DO CIRInCO,3.107467103
RESERVA EXTRATIVISTA DO GUARIBA,4.771271013
RESERVA EXTRATIVISTA DO LAGO DO CAPAN  GRANDE,36.84017782
RESERVA EXTRATIVISTA DO M DIO PURaS,35.47827215
RESERVA EXTRATIVISTA DO RIO GREGiRIO,41.00235715
RESERVA EXTRATIVISTA DO RIO JUTAv,7.133476564
RESERVA EXTRATIVISTA DO RIO UNINI,194.8796548
RESERVA EXTRATIVISTA EXTREMO NORTE DO TOCANTINS,6.448083677
RESERVA EXTRATIVISTA GUARIBA-ROOSEVELT,74.95623593
RESERVA EXTRATIVISTA GURUPC-MELGAaO,47.63324526
RESERVA EXTRATIVISTA IPAe-ANILZINHO,133.9011219
RESERVA EXTRATIVISTA ITUX,48.21351589
RESERVA EXTRATIVISTA JATOBi,1.275081577
RESERVA EXTRATIVISTA LAGO DO CUNIa,56.91951298
RESERVA EXTRATIVISTA MAPU,87.29794194
RESERVA EXTRATIVISTA MARACANn,0.686355654
RESERVA EXTRATIVISTA MARINHA ARAI-PEROBA,5.43830133
RESERVA EXTRATIVISTA MARINHA CAETaTAPERA U,4.222839616
RESERVA EXTRATIVISTA MARINHA CUINARANA,2.053534906
RESERVA EXTRATIVISTA MARINHA DE GURUPI-PIRIo,1.982562049
RESERVA EXTRATIVISTA MARINHA DE SOURE,8.452225487
RESERVA EXTRATIVISTA MARINHA MESTRE LUCINDO,0.300251754
RESERVA EXTRATIVISTA MARINHA MOCAPAJUBA,5.869251967
RESERVA EXTRATIVISTA MARINHA TRACUATEUA,10.92751034
RESERVA EXTRATIVISTA PEDRAS NEGRAS,596.4788357
RESERVA EXTRATIVISTA RENASCER,218.386128
RESERVA EXTRATIVISTA RIO CAJARI,791.9988751
RESERVA EXTRATIVISTA RIO CAUTARIO,293.7046445
RESERVA EXTRATIVISTA RIO OURO PRETO,154.7596865
RESERVA EXTRATIVISTA RIO PACAFS NOVOS,31.90825714
RESERVA EXTRATIVISTA RIO PRETO-JACUND,6.449446214
RESERVA EXTRATIVISTA S O JOoO DA PONTA,0.024333827
RESERVA EXTRATIVISTA TAPAJCS ARAPIUNS,9.582804635
RESERVA EXTRATIVISTA TERRA GRANDE PRACUUBA,225.5303451
RESERVA EXTRATIVISTA VERDE PARA SEMPRE,2993.920918
RESERVA PARTICULAR DO PATRIM NIO NATURAL CRISTALINO I,0.003852988
RESERVA PARTICULAR DO PATRIM NIO NATURAL CRISTALINO III,2.41549953
RESERVA PARTICULAR DO PATRIMnNIO NATURAL AURORA NATURA,0.141057573
RESERVA PARTICULAR DO PATRIMnNIO NATURAL BICO DO JAVAdS,10.05327581
RESERVA PARTICULAR DO PATRIMnNIO NATURAL CATEDRAL DO JALAPaO,3.09894597
RESERVA PARTICULAR DO PATRIMnNIO NATURAL FAZENDA CALIXTO,3.234798229
RESERVA PARTICULAR DO PATRIMnNIO NATURAL SESC TEPEQUaM,0.580593412
RESERVA PARTICULAR DO PATRIMnNIO NATURAL SONHADA,0.098131851
